country,name,full_name,symbol,currency,class,market
united states,NQ US Large Cap Business Support Services,NASDAQ US Large Cap Business Support Services,NQUSL2791,USD,other_indices,global_indices
united states,NQ US Large Cap Support Services,NASDAQ US Large Cap Support Services,NQUSL2790,USD,other_indices,global_indices
united states,NQ US Large Cap Industrial Transportation,NASDAQ US Large Cap Industrial Transportation,NQUSL2770,USD,other_indices,global_indices
united states,NQ US Small Cap Fixed Line Telecommunications,NASDAQ US Small Cap Fixed Line Telecommunications,NQUSS6530,USD,other_indices,global_indices
united states,NQ US Large Cap Automobiles & Parts,NASDAQ US Large Cap Automobiles & Parts,NQUSL3300,USD,other_indices,global_indices
united states,NQ US Large Cap Commercial Vehicles & Trucks,NASDAQ US Large Cap Commercial Vehicles & Trucks,NQUSL2753,USD,other_indices,global_indices
united states,NQ US Large Cap Electronic Equipment,NASDAQ US Large Cap Electronic Equipment,NQUSL2737,USD,other_indices,global_indices
united states,NQ US Large Cap Electronic & Electrical Equipment,NASDAQ US Large Cap Electronic & Electrical Equipment,NQUSL2730,USD,other_indices,global_indices
united states,NQ US Large Cap Diversified Industrials,NASDAQ US Large Cap Diversified Industrials,NQUSL2727,USD,other_indices,global_indices
united states,NQ US Large Cap General Industrials,NASDAQ US Large Cap General Industrials,NQUSL2720,USD,other_indices,global_indices
united states,NQ US Large Cap Defense,NASDAQ US Large Cap Defense,NQUSL2717,USD,other_indices,global_indices
united states,NQ US Large Cap Aerospace,NASDAQ US Large Cap Aerospace,NQUSL2713,USD,other_indices,global_indices
united states,NQ US Large Cap Industrial Engineering,NASDAQ US Large Cap Industrial Engineering,NQUSL2750,USD,other_indices,global_indices
united states,NQ US Large Cap Food & Beverage,NASDAQ US Large Cap Food & Beverage,NQUSL3500,USD,other_indices,global_indices
united states,NQ US Large Cap Beverages,NASDAQ US Large Cap Beverages,NQUSL3530,USD,other_indices,global_indices
united states,NQ US Large Cap Food Producers,NASDAQ US Large Cap Food Producers,NQUSL3570,USD,other_indices,global_indices
united states,NQ US Large Cap Drug Retailers,NASDAQ US Large Cap Drug Retailers,NQUSL5333,USD,other_indices,global_indices
united states,NQ US Large Cap Food & Drug Retailers,NASDAQ US Large Cap Food & Drug Retailers,NQUSL5330,USD,other_indices,global_indices
united states,NQ US Large Cap Retail,NASDAQ US Large Cap Retail,NQUSL5300,USD,other_indices,global_indices
united states,NQ US Large Cap Consumer Services,NASDAQ US Large Cap Consumer Services,NQUSL5000,USD,other_indices,global_indices
united states,NQ US Large Cap Pharmaceuticals,NASDAQ US Large Cap Pharmaceuticals,NQUSL4577,USD,other_indices,global_indices
united states,NQ US Large Cap Biotechnology,NASDAQ US Large Cap Biotechnology,NQUSL4573,USD,other_indices,global_indices
